FlareID_1,Start_Time_1,Peak_Time_1,End_Time_1,hgs_lon_1,hgs_lat_1,hgc_lon_1,hgc_lat_1,total_counts_1,energy_keV_1,AR_1,FlareID_2,Start_Time_2,Peak_Time_2,End_Time_2,hgs_lon_2,hgs_lat_2,hgc_lon_2,hgc_lat_2,total_counts_2,energy_keV_2,AR_2
2080299,2002-08-02 02:47:20,2002-08-02 02:48:02,2002-08-02 02:48:56,2.1933482461658054,-7.799385214515045,148.2061505565755,-7.799385214515043,18657,6-12,57,2080208,2002-08-02 02:59:24,2002-08-02 03:06:38,2002-08-02 03:25:12,51.896611344085166,-8.293100079550912,197.79859175504856,-8.293100079550912,3266580,12-25,50
2080927,2002-08-09 06:40:48,2002-08-09 06:48:14,2002-08-09 07:18:04,-12.540430828110118,11.78943216809407,38.76649408660279,11.78943216809407,2376685,12-25,61,2080951,2002-08-09 07:28:40,2002-08-09 07:29:30,2002-08-09 07:32:52,-51.21496424342104,15.99866525122445,359.6524786570953,15.99866525122445,52240,12-25,63
2080951,2002-08-09 07:28:40,2002-08-09 07:29:30,2002-08-09 07:32:52,-51.21496424342104,15.99866525122445,359.6524786570953,15.99866525122445,52240,12-25,63,2080952,2002-08-09 07:33:36,2002-08-09 07:34:22,2002-08-09 07:35:56,-7.484088304565773,6.511610414806286,43.33805982438203,6.511610414806286,24266,6-12,61
2080961,2002-08-09 13:43:44,2002-08-09 13:44:14,2002-08-09 13:48:32,-8.056216532740734,10.440591830595352,39.36761660503866,10.440591830595352,37784,12-25,61,2080922,2002-08-09 14:59:00,2002-08-09 15:01:50,2002-08-09 15:06:04,-40.89948830825927,15.51317932026726,5.833301090397711,15.513179320267255,82985,12-25,63
2081725,2002-08-17 10:55:16,2002-08-17 10:57:26,2002-08-17 11:01:32,-1.455019958603657,-6.742312758828314,301.7618386903126,-6.742312758828315,915022,12-25,69,20817138,2002-08-17 12:13:08,2002-08-17 12:15:38,2002-08-17 12:24:56,-24.720686699173825,-22.27954583160574,277.7814547824998,-22.27954583160574,767670,12-25,79
2081881,2002-08-18 10:36:44,2002-08-18 10:38:58,2002-08-18 10:49:24,12.630095522458776,-12.706389388216976,302.79991051474246,-12.706389388216976,130338,12-25,69,2081825,2002-08-18 10:59:12,2002-08-18 11:00:14,2002-08-18 11:03:04,-11.814805082935322,-22.47969506655072,278.1488015413143,-22.47969506655072,20257,25-50,79
2082016,2002-08-20 06:27:20,2002-08-20 06:32:30,2002-08-20 06:37:44,39.156635371516586,-7.88956139504814,305.1825169146738,-7.88956139504814,5719190,12-25,69,2082018,2002-08-20 07:39:32,2002-08-20 07:43:18,2002-08-20 07:54:16,11.827054564985854,-22.670123077672077,277.1902998682269,-22.670123077672077,5321246,12-25,79
2082539,2002-08-25 02:26:52,2002-08-25 02:28:54,2002-08-25 02:31:44,32.233015437225326,-17.28384160401921,234.39185762525656,-17.283841604019212,23495,12-25,83,2082501,2002-08-25 03:13:40,2002-08-25 03:19:26,2002-08-25 03:38:52,0.2428224292910209,-8.045683649770899,201.9722283725289,-8.045683649770899,337454,25-50,85
2082671,2002-08-26 08:45:48,2002-08-26 08:52:26,2002-08-26 08:56:16,15.30442108377479,-6.528061668019634,200.77319801222785,-6.528061668019634,196263,12-25,85,2082672,2002-08-26 09:05:52,2002-08-26 09:06:26,2002-08-26 09:07:32,-29.79113117903665,-7.850693339456503,155.49352430502236,-7.850693339456502,11575,6-12,87
2090450,2002-09-04 02:57:56,2002-09-04 03:04:02,2002-09-04 03:07:48,-12.7571009621268,7.833774359848765,57.012006209490536,7.833774359848765,136376,6-12,95,2090433,2002-09-04 03:13:16,2002-09-04 03:14:58,2002-09-04 03:22:36,8.427254576280651,13.765664757029326,78.05572638113291,13.765664757029326,105981,6-12,97
20918103,2002-09-18 20:32:52,2002-09-18 20:33:02,2002-09-18 20:34:00,-5.191187450644122,-14.489055941577211,230.04809170067176,-14.489055941577211,5596,6-12,119,2091895,2002-09-18 21:24:44,2002-09-18 21:26:30,2002-09-18 21:28:36,-33.97847476580017,-11.91751833874014,200.78532270739996,-11.91751833874014,40251,6-12,117
2101387,2002-10-13 00:57:28,2002-10-13 00:58:54,2002-10-13 01:03:20,-33.10646834046298,13.288204698451764,243.00679284057424,13.288204698451764,42427,6-12,149,2101388,2002-10-13 01:03:20,2002-10-13 01:05:34,2002-10-13 01:17:16,24.48069278970439,9.113644739270876,300.54021038202035,9.113644739270876,146332,6-12,144
2102857,2002-10-28 02:25:44,2002-10-28 02:29:02,2002-10-28 02:33:28,43.70938119861327,25.701981338087386,121.1687700086562,25.701981338087386,143040,12-25,162,21028164,2002-10-28 02:33:28,2002-10-28 02:34:42,2002-10-28 02:46:04,23.238297489313453,22.244205694479408,100.6268647686833,22.24420569447941,112021,6-12,165
2110631,2002-11-06 18:53:40,2002-11-06 18:54:06,2002-11-06 18:56:20,19.402300716966295,16.240243007423768,329.1422124283117,16.240243007423768,12125,12-25,177,2110615,2002-11-06 20:16:48,2002-11-06 20:18:26,2002-11-06 20:22:04,-22.044261748229133,11.080498278623434,286.9344850303765,11.080498278623436,74800,12-25,188
2110775,2002-11-07 17:46:36,2002-11-07 17:48:02,2002-11-07 17:53:52,-9.453958482967325,10.609551219329331,287.71552405128773,10.609551219329337,57015,6-12,188,21107101,2002-11-07 18:49:08,2002-11-07 18:54:42,2002-11-07 19:01:00,35.34668670398767,15.376566791252452,331.94362497092663,15.376566791252452,346655,12-25,177
2120161,2002-12-01 22:23:52,2002-12-01 22:26:54,2002-12-01 22:29:00,-22.76874420173669,-19.207092595692234,315.4992129307845,-19.207092595692234,50906,6-12,207,2120162,2002-12-01 23:44:16,2002-12-01 23:48:30,2002-12-01 00:00:00,-50.70132919914323,-21.98788349910397,286.83083975478684,-21.987883499103976,224686,6-12,209
2120458,2002-12-04 23:52:32,2002-12-04 23:53:18,2002-12-04 23:55:20,-9.45974582409906,12.313300531075726,288.46323384529126,12.313300531075726,19576,6-12,208,2120537,2002-12-05 00:34:32,2002-12-05 00:34:58,2002-12-05 00:35:16,-48.97225305058117,14.186607436489393,248.56638482292425,14.18660743648939,3989,6-12,212
2120519,2002-12-05 03:31:28,2002-12-05 03:32:38,2002-12-05 03:33:40,-0.7729933540063598,9.793302274115277,295.1465307867841,9.793302274115277,18842,6-12,208,2120539,2002-12-05 03:52:28,2002-12-05 03:54:14,2002-12-05 03:58:20,-48.04521864027117,15.391328802117515,247.68213513047849,15.391328802117515,35346,6-12,212
2120762,2002-12-07 08:07:04,2002-12-07 08:09:14,2002-12-07 08:10:32,-18.35050366192371,14.539995252119098,248.69278207394683,14.539995252119096,14879,6-12,212,2120769,2002-12-07 08:40:44,2002-12-07 08:41:10,2002-12-07 08:42:20,30.01880527904014,8.254604053543947,296.7540201687651,8.254604053543947,7636,6-12,208
2120883,2002-12-08 10:36:36,2002-12-08 10:38:38,2002-12-08 10:38:48,-2.612112517444814,15.307155675188037,249.8860846187693,15.307155675188037,21985,6-12,212,2120884,2002-12-08 12:02:12,2002-12-08 12:03:18,2002-12-08 12:04:16,45.72069909587562,8.913336369897888,297.435617158229,8.91333636989789,9268,6-12,208
21214155,2002-12-14 06:03:44,2002-12-14 06:04:54,2002-12-14 06:06:36,7.303784707471232,-13.530441273249142,183.242218862978,-13.530441273249142,24827,6-12,220,2121405,2002-12-14 07:29:24,2002-12-14 07:32:30,2002-12-14 07:44:16,-48.9701951794732,-28.143545550036663,126.18441904219532,-28.143545550036663,1163110,12-25,226
